KHOI,CAP0,PRODUCT_CODE,CAP1,CAP2,CAP3,CAP4,CAP1_VN,CAP2_VN,CAP3_VN,CAP4_VN,TRANSACTION_DATE,SPKHCN,KHOI_CAP1,SP_KHCN
TOAN_HANG,,12416,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi Khách hàng lựa chọn kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi Khách hàng lựa chọn kỳ hạn,2021-01-01 00:00:00.0000000,,,
SME,HUY_DONG,12416,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI KHACH HANG LUA CHON KY HAN,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi Khách hàng lựa chọn kỳ hạn,2021-01-01 00:00:00.0000000,,,
CIB,HUY_DONG,12416,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI KHACH HANG LUA CHON KY HAN,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi Khách hàng lựa chọn kỳ hạn,2021-01-01 00:00:00.0000000,,,
TCKT,,12128,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Tien Gui Binh An Phu Quy,2023-07-26 00:00:00.0000000,,,
TCKT,,11123,HUY DONG,,,,Huy động,Huy động không kỳ hạn,Huy động không kỳ hạn,Tai khoan thanh toan online,2023-07-26 00:00:00.0000000,,,
NHS,HDV&TT,11123,TKTT,TAI KHOAN THANH TOAN,TAI KHOAN THANH TOAN,TAI KHOAN FACEBOOK SP SO,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản Facebook SP SO,2022-03-09 00:00:00.0000000,TKTT,NHS,TKTT
TOAN_HANG,,11123,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản Facebook SP SO,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản Facebook SP SO,2021-01-01 00:00:00.0000000,,,
TCKT,,25142,CHO VAY,,,,Cho vay,CV STK,CV STK,Cho vay cầm cố sổ tiết kiệm (cho vay món),2023-07-26 00:00:00.0000000,,,
NHS,DU NO,29211,CV TIEU DUNG,CHO VAY TIEU DUNG KHONG CO TSDB,CHO VAY MON TIEU DUNG KHONG CO TSDB,CHO VAY UNG LUONG SP SO (DANG TEST),Cho vay tiêu dùng,Cho vay tiêu dùng không có TSĐB,Cho vay món tiêu dùng không có TSĐB,Cho vay ứng lương SP SO (đang test),2022-03-09 00:00:00.0000000,CV TIN CHAP,NHS,CV TIN CHAP
TCKT,,29211,CHO VAY,,,,Cho vay,Tín chấp ,CV Tín chấp Top up BĐS,Cho vay mon tieu dung khong co TSDB qua APP SP SO,2023-07-26 00:00:00.0000000,,,
INDIV,DU NO,25142,CV CC GTCG,"CHO VAY THONG THUONG CAM CO GIAY TO CO GIA, TTK, HDTG, CCTG,…(GOI TAT LA GTCG)",CHO VAY CAM CO TIET KIEM MO TREN KENH SO,CHO VAY CAM CO TIET KIEM SO TAI QUAY,"Cho vay cầm cố Giấy tờ có giá, TTK, HĐTG, CCTG,…(gọi tắt là GTCG)","Cho vay thông thường cầm cố Giấy tờ có giá, TTK, HĐTG, CCTG,…(gọi tắt là GTCG)",Cho vay cầm cố tiết kiệm mở trên kênh số,Cho vay cầm cố Tiết kiệm số tại quầy,2022-03-09 00:00:00.0000000,CV STK,INDIV,CV CC GTCG
TCKT,,118216,THE TIN DUNG,,,,Thẻ tín dụng,Gia han,Thẻ tín dụng gia hạn hạng Platinum,Thẻ tín dụng quốc tế VISA gia hạn hạng Platinum,2023-07-26 00:00:00.0000000,,,
INDIV,HDV&TT,12911,TKTK/TGCKH,CHUNG CHI TIEN GUI,CHUNG CHI TIEN GUI,CHUNG CHI TIEN GUI,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,2022-03-09 00:00:00.0000000,TKTK/TGCKH,INDIV,TKTK/TGCKH
TCKT,,12911,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Chứng chỉ tiền gửi,2023-07-26 00:00:00.0000000,,,
TCKT,,21211,CHO VAY,,,,Cho vay,CV Ô tô,CV Ô tô,Cho vay Ô tô SXKD,2023-07-26 00:00:00.0000000,,,
SME,HUY_DONG,12911,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,CHUNG CHI TIEN GUI,CHUNG CHI TIEN GUI,CHUNG CHI TIEN GUI,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,2021-01-01 00:00:00.0000000,,,
INDIV,DU NO,21211,CV O TO,CHO VAY O TO THONG THUONG,CHO VAY MUA O TO MUC DICH KINH DOANH,CHO VAY O TO MUC DICH KINH DOANH,Cho vay mua ô tô,Cho vay Ô tô thông thường,Cho vay mua ô tô mục đích kinh doanh,Cho vay ô tô mục đích kinh doanh,2022-03-09 00:00:00.0000000,CV OTO,INDIV,CV OTO
CIB,HUY_DONG,12911,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,CHUNG CHI TIEN GUI,CHUNG CHI TIEN GUI,CHUNG CHI TIEN GUI,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,2021-01-01 00:00:00.0000000,,,
TCKT,,11581,THE GHI NO,,,,Thẻ ghi nợ,Debit,Thẻ Doanh nghiệp,Thẻ Doanh nghiệp,2023-07-26 00:00:00.0000000,,,
TOAN_HANG,,12911,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,2021-01-01 00:00:00.0000000,,,
TOAN_HANG,,12124,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Dau tu so tra lai truoc (qua eMB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Dau tu so tra lai truoc (qua eMB) SP SO,2021-01-01 00:00:00.0000000,,,
INDIV,HDV&TT,12124,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,DAU TU SO TRA LAI TRUOC (QUA EMB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Dau tu so tra lai truoc (qua eMB) SP SO,2022-03-09 00:00:00.0000000,TKTK/TGCKH,INDIV,TKTK/TGCKH
TCKT,,12332,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Tiết kiệm KH VIP,2023-07-26 00:00:00.0000000,,,
TCKT,,265,THE TIN DUNG,,,,Thẻ tín dụng,Chi tieu,The credit phat sinh chi tieu,The credit phat sinh chi tieu,2023-07-26 00:00:00.0000000,,,
SME,HUY_DONG,12124,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,DAU TU SO TRA LAI TRUOC (QUA EMB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Dau tu so tra lai truoc (qua eMB) SP SO,2021-01-01 00:00:00.0000000,,,
TOAN_HANG,,12332,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm Private,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm Private,2021-01-01 00:00:00.0000000,,,
INDIV,HDV&TT,12332,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIET KIEM PRIVATE,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm Private,2022-03-09 00:00:00.0000000,TKTK/TGCKH,INDIV,TKTK/TGCKH
CIB,HUY_DONG,12124,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,DAU TU SO TRA LAI TRUOC (QUA EMB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Dau tu so tra lai truoc (qua eMB) SP SO,2021-01-01 00:00:00.0000000,,,
CIB,DU_NO,55226,TAI TRO THUONG MAI,TAI TRO THUONG MAI - XUAT KHAU,CHO VAY DAM BAO KPT TU BCT XK,CHO VAY DAM BAO KPT TU BCT XK,,Tài trợ thương mại - xuất khẩu,Cho vay đảm bảo KPT từ BCT XK,Cho vay đảm bảo KPT từ BCT XK,2021-01-01 00:00:00.0000000,,,
NHS,DU NO,26212,CV THE TD,CHO VAY THE TIN DUNG DANH CHO KHCN,CHO VAY THE TIN DUNG QUOC TE DANH CHO KHCN,CHO VAY THE TIN DUNG VINID-MB VISA SP SO,Cho vay thẻ tín dụng,Cho vay thẻ tín dụng dành cho KHCN,Cho vay thẻ tín dụng quốc tế dành cho KHCN,Cho vay thẻ tín dụng VinID-MB Visa SP SO,2022-03-09 00:00:00.0000000,CV THE VISA,NHS,CV THE TD
SME,DU_NO,55226,TAI TRO THUONG MAI,TAI TRO THUONG MAI - XUAT KHAU,CHO VAY DAM BAO KPT TU BCT XK,CHO VAY DAM BAO KPT TU BCT XK,Tài trợ thương mại,Tài trợ thương mại - xuất khẩu,Cho vay đảm bảo KPT từ BCT XK,Cho vay đảm bảo KPT từ BCT XK,2021-01-01 00:00:00.0000000,,,
TCKT,,26212,THE TIN DUNG,,,,Thẻ tín dụng,Phat hanh moi,Thẻ tín dụng VINID vật lý,Thẻ tín dụng VINID vật lý,2023-07-26 00:00:00.0000000,,,
TCKT,,12415,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Tiết kiệm tối ưu,2023-07-26 00:00:00.0000000,,,
TCKT,,15125,SAN PHAM DAU TU,,,,Sản phẩm đầu tư,Bond ,Trái phiếu kỳ hạn 2T trở xuống,Trái phiếu kỳ hạn 2T trở xuống,2023-07-26 00:00:00.0000000,,,
TCKT,,21142,CHO VAY,,,,Cho vay,SXKD,CV SXKD quay vòng,"Cho vay đầu tư, chăm sóc cây cao su",2023-07-26 00:00:00.0000000,,,
INDIV,DU NO,21191,CV SXKD,CHO VAY SAN XUAT KINH DOANH KHAC,CHO VAY SAN XUAT KINH DOANH KHAC,CHO VAY SAN XUAT KINH DOANH KHAC,Cho vay sản xuất kinh doanh,Cho vay sản xuất kinh doanh khác,Cho vay sản xuất kinh doanh khác,Cho vay sản xuất kinh doanh khác,2022-03-09 00:00:00.0000000,CV SXKD,INDIV,CV SXKD
TCKT,,21191,CHO VAY,,,,Cho vay,SXKD,CV SXKD quay vòng,Cho vay sản xuất kinh doanh khác,2023-07-26 00:00:00.0000000,,,
TCKT,,22333,CHO VAY,,,,Cho vay,CV Nhà dự án,CV Nhà dự án,Cho vay thue mua nha du an de kinh doanh,2023-07-26 00:00:00.0000000,,,
INDIV,DU NO,22333,CV BĐS,CHO VAY MUA/THUE/THUE MUA/GOP VON NHA DU AN,CHO VAY THUE MUA NHA DU AN,CHO THUE MUA NHA DU AN DE KINH DOANH,Cho vay bất động sản,Cho vay mua/thuê/thuê mua/góp vốn nhà dự án,Cho vay thuê mua nhà dự án,Cho thuê mua nhà dự án để kinh doanh,2022-03-09 00:00:00.0000000,CV NHA DU AN,INDIV,CV NHA DU AN
TCKT,,21151,CHO VAY,,,,Cho vay,SXKD,CV SXKD quay vòng,Cho vay sản xuất kinh doanh tiêu chuẩn,2023-07-26 00:00:00.0000000,,,
NHS,DU NO,21115,CV SXKD,CHO VAY SAN XUAT KINH DOANH CO TSDB,CHO VAY BO SUNG VON LUU DONG,CHO VAY BO SUNG VON LUU DONG HAN MUC CO TSDB,Cho vay sản xuất kinh doanh,Cho vay sản xuất kinh doanh có TSĐB,Cho vay bổ sung vốn lưu động,Cho vay bổ sung vốn lưu động hạn mức có TSĐB,2022-03-09 00:00:00.0000000,CV SXKD,NHS,CV SXKD
TCKT,,21115,CHO VAY,,,,Cho vay,SXKD,CV SXKD quay vòng,Cho vay bo sung VLD han muc co TSDB tren App SP SO,2023-07-26 00:00:00.0000000,,,
TCKT,,23141,CHO VAY,,,,Cho vay,Thấu chi,CV Thấu chi không TSĐB,Cho vay thấu chi nhân viên Viettel,2023-07-26 00:00:00.0000000,,,
TCKT,,262,THE GHI NO,,,,Thẻ ghi nợ,Chi tieu,The debit phat sinh chi tieu,The debit phat sinh chi tieu,2023-07-26 00:00:00.0000000,,,
SME,BAO_LANH,31161,BAO LANH,BAO LANH,BAO LANH HOAN TRA TIEN UNG TRUOC,BAO LANH HOAN TRA TIEN UNG TRUOC,Bảo lãnh,Bảo lãnh,Bảo lãnh hoàn trả tiền ứng trước,Bảo lãnh hoàn trả tiền ứng trước,2021-01-01 00:00:00.0000000,,,
CIB,BAO_LANH,31161,BAO LANH,BAO LANH,BAO LANH HOAN TRA TIEN UNG TRUOC,BAO LANH HOAN TRA TIEN UNG TRUOC,Bảo lãnh,Bảo lãnh,Bảo lãnh hoàn trả tiền ứng trước,Bảo lãnh hoàn trả tiền ứng trước,2021-01-01 00:00:00.0000000,,,
TCKT,,161,DOANH THU THUAN SRR DO RM QUAN LY,,,,Doanh thu thuần SRR do RM quản lý,Doanh thu thuần SRR do RM quản lý,Doanh thu thuần SRR do RM quản lý,Doanh thu thuần SRR do RM quản lý,2023-07-26 00:00:00.0000000,,,
INDIV,HDV&TT,11521,TKTT,THE GHI NO DANH CHO KHCN,THE GHI NO NOI DIA DANH CHO KHCN,"THE LIEN KET HOC SINH, SINH VIEN",Tài khoản thanh toán,Thẻ ghi nợ dành cho KHCN,Thẻ ghi nợ nội địa dành cho KHCN,"Thẻ liên kết học sinh, sinh viên",2022-03-09 00:00:00.0000000,TKTT,INDIV,TKTT
TOAN_HANG,,11521,Tài khoản thanh toán,Thẻ ghi nợ dành cho KHCN,Thẻ ghi nợ nội địa dành cho KHCN,"""Thẻ liên kết học sinh, sinh viên""",Tài khoản thanh toán,Thẻ ghi nợ dành cho KHCN,Thẻ ghi nợ nội địa dành cho KHCN,"""Thẻ liên kết học sinh, sinh viên""",2021-01-01 00:00:00.0000000,,,
TCKT,,11521,THE GHI NO,,,,Thẻ ghi nợ,Debit,"Thẻ liên kết học sinh, sinh viên","Thẻ liên kết học sinh, sinh viên",2023-07-26 00:00:00.0000000,,,
TCKT,,21312,CHO VAY,,,,Cho vay,CV Nhà đất,CV Nhà đất,Cho vay mua nhà đất để kinh doanh,2023-07-26 00:00:00.0000000,,,
INDIV,DU NO,21312,CV BĐS,CHO VAY MUA NHA DAT,CHO VAY MUA NHA DAT DE KINH DOANH,CHO VAY MUA NHA DAT DE KINH DOANH,Cho vay bất động sản,Cho vay mua nhà đất,Cho vay mua nhà đất để kinh doanh,Cho vay mua nhà đất để kinh doanh,2022-03-09 00:00:00.0000000,CV NHA DAT,INDIV,CV NHA DAT
TOAN_HANG,,12419,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi có kì hạn ký quỹ,Tiền gửi có kì hạn ký quỹ,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi có kì hạn ký quỹ,Tiền gửi có kì hạn ký quỹ,2021-01-01 00:00:00.0000000,,,
SME,HUY_DONG,12419,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CO KI HAN KY QUY,TIEN GUI CO KI HAN KY QUY,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi có kì hạn ký quỹ,Tiền gửi có kì hạn ký quỹ,2021-01-01 00:00:00.0000000,,,
CIB,HUY_DONG,12419,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CO KI HAN KY QUY,TIEN GUI CO KI HAN KY QUY,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi có kì hạn ký quỹ,Tiền gửi có kì hạn ký quỹ,2021-01-01 00:00:00.0000000,,,
SME,HUY_DONG,12412,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM RUT GOC TUNG PHAN,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm rút gốc từng phần,2021-01-01 00:00:00.0000000,,,
CIB,HUY_DONG,12412,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM RUT GOC TUNG PHAN,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm rút gốc từng phần,2021-01-01 00:00:00.0000000,,,
INDIV,HDV&TT,12412,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM RUT GOC TUNG PHAN,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm rút gốc từng phần,2022-03-09 00:00:00.0000000,TKTK/TGCKH,INDIV,TKTK/TGCKH
TOAN_HANG,,12412,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm rút gốc từng phần,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm rút gốc từng phần,2021-01-01 00:00:00.0000000,,,
TCKT,,12412,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Tiền gửi CKH/Tiết kiệm rút gốc từng phần,2023-07-26 00:00:00.0000000,,,
